,Unnamed: 0,Time,Sensor,District,Fwy,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,32,37,42,47,52
55865686,55865686,10/01/2018 00:00:00,775961,7,126,E,ML,2.505,18,100,2.0,0.0005,62.7,6,0.0,0.0,71.9,1,6.0,0.0,0.0,69.7,1,6.0,2.0,0.0015,62.7,1,0,0,0,0,0
55870539,55870539,10/01/2018 00:05:00,775961,7,126,E,ML,2.505,27,100,4.0,0.002,65.8,9,0.0,0.0,71.9,1,9.0,2.0,0.0016,69.6,1,9.0,2.0,0.0044,62.0,1,0,0,0,0,0
55875392,55875392,10/01/2018 00:10:00,775961,7,126,E,ML,2.505,24,100,6.0,0.0012,66.2,8,0.0,0.0,71.9,1,8.0,3.0,0.0017,69.8,1,8.0,3.0,0.0018,62.7,1,0,0,0,0,0
55880245,55880245,10/01/2018 00:15:00,775961,7,126,E,ML,2.505,24,100,5.0,0.001,68.5,8,0.0,0.0,71.9,1,8.0,4.0,0.0023,69.9,1,8.0,1.0,0.0008,62.8,1,0,0,0,0,0
55885098,55885098,10/01/2018 00:20:00,775961,7,126,E,ML,2.505,18,100,3.0,0.0008,69.7,6,0.0,0.0,71.9,1,6.0,3.0,0.0023,69.7,1,6.0,0.0,0.0,62.8,1,0,0,0,0,0
55889951,55889951,10/01/2018 00:25:00,775961,7,126,E,ML,2.505,18,100,7.0,0.0016,67.7,6,0.0,0.0,71.9,1,6.0,5.0,0.0037,69.6,1,6.0,2.0,0.0012,63.1,1,0,0,0,0,0
55894804,55894804,10/01/2018 00:30:00,775961,7,126,E,ML,2.505,18,100,10.0,0.0065,64.4,6,0.0,0.0,71.9,1,6.0,5.0,0.0055,69.1,1,6.0,5.0,0.014,59.7,1,0,0,0,0,0
55899657,55899657,10/01/2018 00:35:00,775961,7,126,E,ML,2.505,18,100,4.0,0.001,65.4,6,0.0,0.0,71.9,1,6.0,2.0,0.0012,69.5,1,6.0,2.0,0.0017,61.2,1,0,0,0,0,0
55904510,55904510,10/01/2018 00:40:00,775961,7,126,E,ML,2.505,18,100,5.0,0.0011,65.1,6,0.0,0.0,71.9,1,6.0,2.0,0.0013,69.6,1,6.0,3.0,0.0021,62.1,1,0,0,0,0,0
55909363,55909363,10/01/2018 00:45:00,775961,7,126,E,ML,2.505,15,100,4.0,0.0009,70.7,5,2.0,0.0012,71.9,1,5.0,2.0,0.0016,69.5,1,5.0,0.0,0.0,62.1,1,0,0,0,0,0
55914216,55914216,10/01/2018 00:50:00,775961,7,126,E,ML,2.505,15,100,2.0,0.0004,62.7,5,0.0,0.0,71.9,1,5.0,0.0,0.0,69.5,1,5.0,2.0,0.0012,62.7,1,0,0,0,0,0
55919069,55919069,10/01/2018 00:55:00,775961,7,126,E,ML,2.505,18,100,8.0,0.0044,64.2,6,0.0,0.0,71.9,1,6.0,3.0,0.004,69.0,1,6.0,5.0,0.0093,61.4,1,0,0,0,0,0
55923922,55923922,10/01/2018 01:00:00,775961,7,126,E,ML,2.505,15,100,4.0,0.001,69.4,5,0.0,0.0,71.9,1,5.0,4.0,0.003,69.4,1,5.0,0.0,0.0,61.4,1,0,0,0,0,0
55928775,55928775,10/01/2018 01:05:00,775961,7,126,E,ML,2.505,21,100,5.0,0.0027,68.3,7,1.0,0.0011,71.6,1,7.0,3.0,0.0021,69.6,1,7.0,1.0,0.005,61.0,1,0,0,0,0,0
55933628,55933628,10/01/2018 01:10:00,775961,7,126,E,ML,2.505,15,100,4.0,0.0019,65.5,5,0.0,0.0,71.6,1,5.0,2.0,0.0048,68.7,1,5.0,2.0,0.001,62.3,1,0,0,0,0,0
55938481,55938481,10/01/2018 01:15:00,775961,7,126,E,ML,2.505,15,100,2.0,0.0003,63.0,5,0.0,0.0,71.6,1,5.0,0.0,0.0,68.7,1,5.0,2.0,0.001,63.0,1,0,0,0,0,0
55943334,55943334,10/01/2018 01:20:00,775961,7,126,E,ML,2.505,15,100,10.0,0.0031,65.2,5,0.0,0.0,71.6,1,5.0,4.0,0.003,69.2,1,5.0,6.0,0.0062,62.6,1,0,0,0,0,0
55948187,55948187,10/01/2018 01:25:00,775961,7,126,E,ML,2.505,12,100,0.0,0.0,67.8,4,0.0,0.0,71.6,1,4.0,0.0,0.0,69.2,1,4.0,0.0,0.0,62.6,1,0,0,0,0,0
55953040,55953040,10/01/2018 01:30:00,775961,7,126,E,ML,2.505,15,100,0.0,0.0,67.8,5,0.0,0.0,71.6,1,5.0,0.0,0.0,69.2,1,5.0,0.0,0.0,62.6,1,0,0,0,0,0
55957893,55957893,10/01/2018 01:35:00,775961,7,126,E,ML,2.505,15,100,2.0,0.0003,69.8,5,0.0,0.0,71.6,1,5.0,2.0,0.001,69.8,1,5.0,0.0,0.0,62.6,1,0,0,0,0,0
55962746,55962746,10/01/2018 01:40:00,775961,7,126,E,ML,2.505,18,100,2.0,0.0015,62.0,6,0.0,0.0,71.6,1,6.0,0.0,0.0,69.8,1,6.0,2.0,0.0045,62.0,1,0,0,0,0,0
55967599,55967599,10/01/2018 01:45:00,775961,7,126,E,ML,2.505,21,100,6.0,0.0017,62.4,7,0.0,0.0,71.6,1,7.0,0.0,0.0,69.8,1,7.0,6.0,0.005,62.4,1,0,0,0,0,0
55972452,55972452,10/01/2018 01:50:00,775961,7,126,E,ML,2.505,15,100,4.0,0.0016,70.4,5,2.0,0.0014,71.6,1,5.0,2.0,0.0034,69.2,1,5.0,0.0,0.0,62.4,1,0,0,0,0,0
55977305,55977305,10/01/2018 01:55:00,775961,7,126,E,ML,2.505,15,100,6.0,0.0027,61.8,5,0.0,0.0,71.6,1,5.0,0.0,0.0,69.2,1,5.0,6.0,0.0082,61.8,1,0,0,0,0,0
55982158,55982158,10/01/2018 02:00:00,775961,7,126,E,ML,2.505,18,100,0.0,0.0,67.5,6,0.0,0.0,71.6,1,6.0,0.0,0.0,69.2,1,6.0,0.0,0.0,61.8,1,0,0,0,0,0
